,NomeCidade,MediaSalarialGeral,SalMed_ExecGeral,SalMed_GerenteIntGeral,SalMed_FuncGeral,SalMed_TrabalhadorGeral
95,Saint-Michel,10.8,22.5,13.5,8.7,10.6
96,Saint-Quentin,12.3,23.5,13.9,10.0,10.5
97,Sinceny,13.2,24.2,14.5,10.2,12.1
98,Sissonne,10.6,21.2,12.4,9.7,9.9
99,Soissons,12.3,24.0,14.0,10.0,10.4
100,Tergnier,12.0,21.2,14.5,10.1,11.4
101,Vailly-sur-Aisne,12.4,27.5,14.7,10.1,10.5
102,Vervins,12.2,24.2,13.6,10.1,11.1
103,Villeneuve-Saint-Germain,11.8,21.6,13.7,10.1,10.8
104,Villers-Cotterêts,12.9,23.5,14.9,10.3,11.4
105,Abrest,12.7,22.9,14.4,10.1,10.9
106,Avermes,12.1,24.9,13.0,10.0,10.3
107,Bellerive-sur-Allier,13.5,25.2,14.2,10.0,10.8
108,Bourbon-l'Archambault,11.9,21.4,13.0,10.1,10.9
109,Commentry,12.0,21.0,14.4,10.1,11.3
110,Cosne-d'Allier,11.7,21.6,13.6,10.1,10.8
111,Creuzier-le-Vieux,13.5,23.7,14.9,10.1,11.2
112,Cusset,12.2,24.7,13.8,10.0,10.4
113,Désertines,12.3,21.8,14.6,9.9,11.1
114,Domérat,12.4,21.1,13.9,10.2,11.1
115,Dompierre-sur-Besbre,11.8,23.5,13.9,9.9,11.0
116,Gannat,11.8,22.3,13.8,9.8,10.4
117,Huriel,11.9,21.1,13.8,9.7,11.1
118,Lapalisse,10.9,19.7,12.8,9.8,10.0
119,Lurcy-Lévis,10.6,19.4,13.2,9.4,9.7
120,Montluçon,11.7,21.4,13.3,9.6,10.7
121,Moulins,11.6,21.9,13.4,9.9,10.0
122,Néris-les-Bains,13.9,25.0,14.3,10.0,12.1
123,Prémilhat,13.2,23.2,13.9,10.5,11.7
124,Saint-Germain-des-Fossés,11.6,22.8,13.6,9.8,10.5
125,Saint-Pourçain-sur-Sioule,11.8,20.9,13.9,10.3,10.6
126,Saint-Victor,12.7,21.7,14.3,10.1,11.2
127,Saint-Yorre,12.5,26.8,14.0,10.2,10.8
128,Varennes-sur-Allier,11.3,22.9,13.4,9.7,10.4
129,Vendat,13.9,24.4,15.5,10.4,11.2
