,NomeCidade,NumEmpCid,NumEmpDesc,NumCol_5,NumCol_9,NumCol_19,NumCol_49,NumCol_99,NumCol_199,NumCol_499,NumCol_+500
30195,Albiez-le-Jeune,5,5,0,0,0,0,0,0,0,0
30196,Albiez-Montrond,91,67,20,4,0,0,0,0,0,0
30197,Allondaz,8,8,0,0,0,0,0,0,0,0
30198,Les Allues,1235,1009,140,38,27,15,4,1,1,0
30199,Apremont,56,34,17,3,2,0,0,0,0,0
30200,Arbin,70,35,21,5,3,6,0,0,0,0
30201,Argentine,37,32,3,2,0,0,0,0,0,0
30202,Arith,36,30,6,0,0,0,0,0,0,0
30203,Arvillard,44,38,5,0,0,1,0,0,0,0
30204,Attignat-Oncin,34,30,4,0,0,0,0,0,0,0
30205,Aussois,156,119,31,5,0,0,1,0,0,0
30206,Les Avanchers-Valmorel,235,172,42,12,6,1,0,1,1,0
30207,Avressieux,23,21,1,0,1,0,0,0,0,0
30208,Avrieux,22,17,3,1,0,1,0,0,0,0
30209,Ayn,16,13,3,0,0,0,0,0,0,0
30210,La Balme,13,8,5,0,0,0,0,0,0,0
30211,Barberaz,294,205,51,19,9,9,1,0,0,0
30212,Barby,132,82,32,5,6,5,2,0,0,0
30213,Bassens,256,149,70,17,11,7,1,0,1,0
30214,La Bâthie,197,118,49,13,7,8,1,1,0,0
30215,La Bauche,19,15,2,1,1,0,0,0,0,0
30216,Beaufort,301,217,57,8,14,4,1,0,0,0
30217,Bellecombe-en-Bauges,48,34,14,0,0,0,0,0,0,0
30218,Bellentre,249,189,43,12,4,1,0,0,0,0
30219,Belmont-Tramonet,45,24,10,3,3,3,2,0,0,0
30220,Bessans,69,54,12,3,0,0,0,0,0,0
30221,Betton-Bettonet,14,12,2,0,0,0,0,0,0,0
30222,Billième,12,10,0,1,0,1,0,0,0,0
30223,La Biolle,113,84,26,0,2,1,0,0,0,0
30224,Le Bois,25,21,1,2,1,0,0,0,0,0
30225,Bonneval,8,7,1,0,0,0,0,0,0,0
30226,Bonneval-sur-Arc,68,53,14,1,0,0,0,0,0,0
30227,Bonvillard,15,12,2,1,0,0,0,0,0,0
30228,Bonvillaret,7,7,0,0,0,0,0,0,0,0
30229,Bourdeau,45,36,8,0,1,0,0,0,0,0
30230,Le Bourget-du-Lac,520,283,134,37,36,22,5,2,1,0
30231,Bourget-en-Huile,6,4,2,0,0,0,0,0,0,0
30232,Bourgneuf,32,20,8,1,1,2,0,0,0,0
30233,Bourg-Saint-Maurice,1659,1242,301,55,32,16,10,3,0,0
30234,Bozel,309,230,59,11,7,2,0,0,0,0
30235,Bramans,50,43,5,1,1,0,0,0,0,0
30236,Brides-les-Bains,200,147,37,5,7,4,0,0,0,0
30237,La Bridoire,59,45,11,0,1,0,0,2,0,0
30238,Brison-Saint-Innocent,117,95,19,2,0,1,0,0,0,0
30239,Césarches,14,8,6,0,0,0,0,0,0,0
30240,Cessens,19,16,3,0,0,0,0,0,0,0
30241,Cevins,52,28,15,4,4,1,0,0,0,0
30242,Challes-les-Eaux,508,315,140,22,16,12,1,1,1,0
30243,Chambéry,4753,2847,1306,243,183,107,38,19,9,1
30244,La Chambre,104,59,35,6,1,2,0,1,0,0
